ID;sexe;age;revenus_K€;enfants;enfant_conduite_accompagnee;type_vehicule;age_vehicule;est_rouge;usage_vehicule;type_conduite;points_perdus;date_demande;formule;tarif_devis_€
234;F;[35-45];[50-75];non;non;z_SUV;10;non;Commercial;Highly Urban/ Urban;2;janvier;dev_express;< 300
235;F;[65-75];< 25;oui;non;z_SUV;7;non;Private;z_Highly Rural/ Rural;2;avril;dev_integral;[300-450]
236;M;[65-75];[25-50];non;non;Pickup;16;non;Private;Highly Urban/ Urban;0;mars;dev_integral;< 300
237;F;[35-45];> 150;non;non;Panel Truck;15;non;Commercial;Highly Urban/ Urban;0;mars;dev_premium;[450-600]
238;F;[65-75];> 150;non;non;z_SUV;15;non;Private;Highly Urban/ Urban;0;mars;dev_integral;< 300
239;M;[65-75];[25-50];oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;5;mai;dev_integral;< 300
240;F;[65-75];[75-100];non;non;Minivan;10;oui;Private;Highly Urban/ Urban;3;février;dev_integral;[300-450]
241;F;[35-45];[50-75];non;non;Minivan;15;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
242;M;[55-65];[75-100];non;non;z_SUV;7;non;Commercial;Highly Urban/ Urban;0;février;dev_express;< 300
243;F;> 75;< 25;non;non;Pickup;11;oui;Commercial;Highly Urban/ Urban;0;mars;dev_express;< 300
244;F;> 75;[75-100];oui;oui;Sports Car;12;non;Private;Highly Urban/ Urban;6;mai;dev_express;< 300
245;M;< 15;[25-50];oui;non;z_SUV;5;non;Private;Highly Urban/ Urban;3;mai;dev_integral;< 300
246;F;> 75;< 25;non;non;Van;12;oui;Private;Highly Urban/ Urban;3;janvier;dev_integral;< 300
247;M;[25-35];[50-75];oui;oui;Pickup;7;non;Commercial;Highly Urban/ Urban;0;mai;dev_premium;[300-450]
248;M;< 15;< 25;oui;non;Van;1;oui;Commercial;z_Highly Rural/ Rural;0;janvier;dev_integral;[300-450]
249;M;[35-45];[25-50];non;non;Pickup;10;oui;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
250;F;[25-35];[75-100];non;non;Minivan;15;non;Private;Highly Urban/ Urban;2;avril;dev_integral;< 300
251;M;[15-25];[100-125];non;non;z_SUV;20;non;Private;Highly Urban/ Urban;1;janvier;dev_integral;[300-450]
252;F;[35-45];[50-75];non;non;z_SUV;12;non;Commercial;z_Highly Rural/ Rural;5;mai;dev_express;< 300
253;M;[55-65];[25-50];non;non;Minivan;6;non;Commercial;Highly Urban/ Urban;3;janvier;dev_premium;[300-450]
254;F;[55-65];[125-150];non;non;Van;18;oui;Private;Highly Urban/ Urban;0;février;dev_express;< 300
255;M;< 15;[25-50];non;non;Minivan;8;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
256;M;[55-65];[75-100];oui;non;Van;;oui;Commercial;z_Highly Rural/ Rural;2;mai;dev_premium;[450-600]
257;M;[55-65];< 25;oui;non;Minivan;16;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
258;F;[15-25];[25-50];oui;oui;Minivan;5;non;Private;Highly Urban/ Urban;0;février;dev_express;< 300
259;F;> 75;< 25;non;non;Minivan;1;oui;Private;z_Highly Rural/ Rural;0;mars;dev_premium;[450-600]
260;F;[65-75];[25-50];non;non;Panel Truck;10;non;Commercial;Highly Urban/ Urban;4;février;dev_express;< 300
261;F;< 15;[50-75];non;non;Panel Truck;8;non;Commercial;Highly Urban/ Urban;5;avril;dev_integral;[300-450]
262;F;> 75;[75-100];oui;non;Van;9;oui;Commercial;Highly Urban/ Urban;1;février;dev_express;< 300
263;M;< 15;> 150;non;non;Pickup;17;non;Commercial;Highly Urban/ Urban;0;mars;dev_integral;< 300
264;M;< 15;[75-100];non;non;Van;10;non;Commercial;Highly Urban/ Urban;7;mars;dev_express;< 300
265;M;> 75;< 25;non;non;z_SUV;;non;Private;Highly Urban/ Urban;4;mai;dev_integral;[300-450]
266;M;[55-65];[50-75];non;non;z_SUV;7;non;Private;Highly Urban/ Urban;1;avril;dev_integral;[300-450]
267;M;[45-55];[75-100];non;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;1;janvier;dev_premium;[300-450]
268;M;[15-25];> 150;non;non;Panel Truck;11;non;Commercial;Highly Urban/ Urban;4;mars;dev_express;< 300
269;F;[65-75];[50-75];non;non;z_SUV;12;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
270;F;[55-65];[100-125];non;non;Minivan;13;non;Private;Highly Urban/ Urban;4;mai;dev_premium;[300-450]
271;F;[35-45];[25-50];non;non;Sports Car;12;non;Commercial;Highly Urban/ Urban;4;février;dev_integral;[300-450]
272;M;[65-75];> 150;non;non;Pickup;13;non;Commercial;Highly Urban/ Urban;3;février;dev_express;< 300
273;F;[35-45];[75-100];non;non;Van;8;non;Commercial;Highly Urban/ Urban;3;avril;dev_integral;[300-450]
274;M;[15-25];[50-75];non;non;Van;1;non;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
275;M;[45-55];[50-75];oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;2;avril;dev_express;< 300
276;F;> 75;[75-100];non;non;Panel Truck;10;non;Commercial;Highly Urban/ Urban;5;avril;dev_express;< 300
277;M;[35-45];[75-100];oui;oui;Pickup;8;non;Commercial;Highly Urban/ Urban;4;janvier;dev_integral;[300-450]
278;M;[55-65];[25-50];non;non;Pickup;1;oui;Commercial;Highly Urban/ Urban;5;mars;dev_express;< 300
279;M;[15-25];[125-150];non;non;Panel Truck;20;non;Commercial;Highly Urban/ Urban;3;mars;dev_integral;[300-450]
280;M;[65-75];< 25;non;non;z_SUV;2;non;Private;Highly Urban/ Urban;3;janvier;dev_integral;< 300
281;M;[55-65];[50-75];non;non;Minivan;12;oui;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
282;M;< 15;< 25;non;non;Sports Car;11;non;Private;Highly Urban/ Urban;5;janvier;dev_premium;[450-600]
283;F;< 15;[50-75];non;non;Sports Car;12;non;Private;z_Highly Rural/ Rural;0;mars;dev_integral;[300-450]
284;F;[45-55];[25-50];non;non;Minivan;11;oui;Private;Highly Urban/ Urban;4;avril;dev_integral;[300-450]
285;F;> 75;[75-100];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
286;F;[15-25];[25-50];non;non;Pickup;1;oui;Private;Highly Urban/ Urban;2;janvier;dev_integral;[300-450]
287;F;[35-45];[25-50];non;non;Pickup;10;oui;Commercial;z_Highly Rural/ Rural;0;janvier;dev_integral;[300-450]
288;M;[65-75];< 25;non;non;Minivan;7;non;Private;Highly Urban/ Urban;2;janvier;dev_integral;[300-450]
289;F;> 75;> 150;non;non;Panel Truck;17;oui;Commercial;Highly Urban/ Urban;0;février;dev_express;< 300
290;M;[55-65];[75-100];oui;non;Pickup;14;non;Private;Highly Urban/ Urban;1;janvier;dev_premium;[450-600]
291;M;[55-65];[25-50];non;non;Pickup;9;non;Private;Highly Urban/ Urban;4;mars;dev_express;< 300
292;M;[15-25];[50-75];non;non;Pickup;8;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
293;M;< 15;[25-50];non;non;Minivan;;non;Private;Highly Urban/ Urban;3;mars;dev_integral;[300-450]
294;M;< 15;[50-75];non;non;Van;4;oui;Commercial;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
295;F;[15-25];[25-50];oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;1;mai;dev_express;< 300
296;F;[45-55];[75-100];oui;non;z_SUV;11;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
297;F;< 15;[25-50];non;non;z_SUV;;non;Private;Highly Urban/ Urban;6;avril;dev_premium;[450-600]
298;F;> 75;[100-125];oui;oui;Minivan;11;oui;Private;Highly Urban/ Urban;1;février;dev_express;< 300
299;F;[65-75];[50-75];non;non;Pickup;10;oui;Private;Highly Urban/ Urban;2;avril;dev_integral;< 300
300;F;[15-25];[25-50];oui;non;Panel Truck;21;non;Commercial;Highly Urban/ Urban;1;mars;dev_express;< 300
301;M;[45-55];< 25;non;non;Sports Car;1;non;Commercial;z_Highly Rural/ Rural;0;mai;dev_integral;< 300
302;F;< 15;[75-100];oui;non;Pickup;10;non;Private;z_Highly Rural/ Rural;0;avril;dev_integral;< 300
303;F;[45-55];< 25;oui;non;z_SUV;1;non;Private;z_Highly Rural/ Rural;0;mai;dev_express;< 300
304;F;[65-75];< 25;oui;oui;Minivan;1;oui;Private;Highly Urban/ Urban;3;mai;dev_integral;[300-450]
305;F;> 75;[25-50];non;non;Pickup;10;non;Private;z_Highly Rural/ Rural;0;mars;dev_express;< 300
306;F;[65-75];> 150;non;non;Sports Car;12;non;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
307;M;< 15;[125-150];non;non;Pickup;20;oui;Commercial;Highly Urban/ Urban;4;janvier;dev_express;< 300
308;F;[65-75];< 25;non;non;z_SUV;3;non;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
309;F;[15-25];[50-75];non;non;Minivan;11;non;Private;Highly Urban/ Urban;0;février;dev_premium;[300-450]
310;F;[45-55];[125-150];non;non;Panel Truck;19;oui;Commercial;Highly Urban/ Urban;5;janvier;dev_express;< 300
311;F;[45-55];< 25;non;non;Minivan;11;non;Commercial;z_Highly Rural/ Rural;0;mai;dev_express;< 300
312;M;[35-45];[25-50];non;non;Sports Car;7;oui;Commercial;Highly Urban/ Urban;0;mai;dev_express;< 300
313;M;[35-45];[25-50];non;non;Minivan;8;non;Private;z_Highly Rural/ Rural;0;mai;dev_premium;[450-600]
314;M;[65-75];[25-50];oui;oui;Sports Car;1;non;Private;Highly Urban/ Urban;2;mai;dev_integral;[300-450]
315;F;[55-65];[125-150];oui;non;Pickup;12;non;Private;Highly Urban/ Urban;2;avril;dev_integral;[300-450]
316;M;[15-25];< 25;non;non;Minivan;1;non;Private;Highly Urban/ Urban;0;février;dev_integral;[300-450]
317;M;> 75;[100-125];non;non;Minivan;11;oui;Private;Highly Urban/ Urban;0;avril;dev_premium;[300-450]
318;F;< 15;[25-50];non;non;Panel Truck;7;non;Commercial;Highly Urban/ Urban;0;mars;dev_integral;< 300
319;F;[45-55];< 25;oui;non;z_SUV;5;non;Private;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
320;M;> 75;< 25;oui;oui;Pickup;9;oui;Private;z_Highly Rural/ Rural;0;mars;dev_integral;[300-450]
321;F;[55-65];[125-150];non;non;Van;14;oui;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
322;F;> 75;< 25;oui;oui;z_SUV;4;non;Private;z_Highly Rural/ Rural;0;avril;dev_integral;[300-450]
323;F;[65-75];[75-100];non;non;Sports Car;6;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
324;F;[35-45];< 25;oui;non;Pickup;1;non;Commercial;z_Highly Rural/ Rural;7;mai;dev_express;< 300
325;F;[55-65];[25-50];oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;6;mai;dev_express;< 300
326;M;< 15;[75-100];non;non;Minivan;1;non;Commercial;Highly Urban/ Urban;3;février;dev_express;< 300
327;F;[65-75];[75-100];non;non;Minivan;19;oui;Private;Highly Urban/ Urban;2;février;dev_integral;[300-450]
328;F;[55-65];[25-50];non;non;z_SUV;12;non;Commercial;Highly Urban/ Urban;3;mars;dev_integral;[300-450]
329;F;[45-55];[25-50];non;non;Minivan;1;non;Private;Highly Urban/ Urban;1;mars;dev_integral;[300-450]
330;F;[55-65];[25-50];non;non;z_SUV;9;non;Private;z_Highly Rural/ Rural;1;mai;dev_premium;[300-450]
331;F;[45-55];[50-75];non;non;Pickup;9;oui;Private;Highly Urban/ Urban;2;janvier;dev_vip;> 600
332;M;> 75;< 25;oui;oui;Minivan;1;oui;Private;Highly Urban/ Urban;0;février;dev_express;< 300
333;M;[35-45];[25-50];non;non;Sports Car;4;non;Private;Highly Urban/ Urban;0;février;dev_express;< 300
334;M;[45-55];[25-50];oui;non;Van;7;oui;Commercial;z_Highly Rural/ Rural;0;avril;dev_integral;< 300
335;F;[65-75];[50-75];oui;non;Minivan;9;non;Commercial;Highly Urban/ Urban;5;mars;dev_integral;[300-450]
336;F;[45-55];[75-100];oui;non;z_SUV;20;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
337;M;[15-25];[50-75];non;non;Sports Car;15;non;Private;Highly Urban/ Urban;0;février;dev_integral;< 300
338;M;[45-55];[25-50];non;non;Pickup;7;oui;Commercial;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
339;M;[35-45];[100-125];oui;non;z_SUV;9;non;Commercial;Highly Urban/ Urban;0;avril;dev_integral;< 300
340;F;[25-35];< 25;oui;oui;Sports Car;6;non;Private;Highly Urban/ Urban;3;janvier;dev_express;< 300
341;M;[55-65];[100-125];oui;non;Panel Truck;8;non;Commercial;Highly Urban/ Urban;4;mars;dev_express;< 300
342;M;> 75;[25-50];oui;non;Sports Car;1;non;Commercial;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
343;M;[35-45];[50-75];non;non;z_SUV;1;non;Private;Highly Urban/ Urban;7;mai;dev_integral;[300-450]
344;M;> 75;[25-50];non;non;Minivan;5;non;Commercial;Highly Urban/ Urban;3;avril;dev_integral;< 300
345;M;[55-65];[100-125];non;non;Van;8;oui;Commercial;Highly Urban/ Urban;1;janvier;dev_integral;[300-450]
346;M;[55-65];[100-125];non;non;z_SUV;;non;Private;Highly Urban/ Urban;2;mars;dev_premium;[450-600]
347;F;[15-25];[50-75];non;non;Panel Truck;14;non;Commercial;Highly Urban/ Urban;10;février;dev_express;< 300
348;F;[15-25];[100-125];oui;non;Panel Truck;3;non;Commercial;Highly Urban/ Urban;3;mars;dev_integral;< 300
349;F;> 75;< 25;non;non;Minivan;10;non;Private;Highly Urban/ Urban;0;avril;dev_express;< 300
350;M;[35-45];< 25;non;non;Sports Car;1;non;Private;z_Highly Rural/ Rural;0;janvier;dev_integral;[300-450]
351;F;> 75;[100-125];oui;oui;Minivan;10;non;Private;Highly Urban/ Urban;4;janvier;dev_vip;> 600
352;M;[25-35];[50-75];non;non;Minivan;13;oui;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
353;M;[65-75];[75-100];oui;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;1;janvier;dev_integral;[300-450]
354;F;> 75;> 150;non;non;Sports Car;20;non;Private;Highly Urban/ Urban;8;mai;dev_integral;[300-450]
355;M;> 75;[75-100];oui;non;Panel Truck;1;non;Commercial;z_Highly Rural/ Rural;0;mars;dev_integral;[300-450]
356;F;[45-55];[75-100];oui;non;Minivan;18;non;Private;Highly Urban/ Urban;2;janvier;dev_express;< 300
357;F;[45-55];< 25;non;non;z_SUV;25;non;Private;Highly Urban/ Urban;0;avril;dev_integral;< 300
358;M;[25-35];[100-125];oui;non;Panel Truck;19;oui;Commercial;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
359;M;< 15;[25-50];oui;non;Pickup;17;oui;Private;Highly Urban/ Urban;0;mai;dev_express;< 300
360;F;[45-55];[50-75];non;non;Pickup;11;oui;Commercial;z_Highly Rural/ Rural;2;janvier;dev_integral;[300-450]
361;F;[55-65];[50-75];non;non;Van;13;non;Private;Highly Urban/ Urban;3;mai;dev_express;< 300
362;M;[65-75];[25-50];oui;non;z_SUV;8;non;Commercial;z_Highly Rural/ Rural;0;mars;dev_premium;[300-450]
363;M;[15-25];[25-50];oui;non;z_SUV;5;non;Commercial;Highly Urban/ Urban;1;mai;dev_express;< 300
364;F;[55-65];[50-75];oui;non;Minivan;1;non;Private;z_Highly Rural/ Rural;0;janvier;dev_premium;[450-600]
365;M;[25-35];< 25;oui;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;3;janvier;dev_integral;< 300
366;M;[55-65];< 25;oui;non;Minivan;;oui;Private;Highly Urban/ Urban;1;mai;dev_integral;[300-450]
367;F;[35-45];[25-50];oui;non;Minivan;8;oui;Private;z_Highly Rural/ Rural;4;avril;dev_integral;< 300
368;F;[55-65];[125-150];non;non;z_SUV;9;non;Private;Highly Urban/ Urban;0;février;dev_express;< 300
369;F;[65-75];[25-50];non;non;Minivan;7;non;Private;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
370;M;< 15;[25-50];oui;non;Sports Car;13;non;Private;Highly Urban/ Urban;0;février;dev_premium;[300-450]
371;F;[35-45];< 25;oui;oui;z_SUV;10;non;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
372;M;[55-65];< 25;non;non;Minivan;;oui;Private;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
373;M;> 75;[25-50];non;non;Panel Truck;8;non;Commercial;z_Highly Rural/ Rural;2;mai;dev_integral;[300-450]
374;F;[45-55];< 25;oui;non;Minivan;1;non;Private;Highly Urban/ Urban;3;mars;dev_integral;[300-450]
375;F;[45-55];[25-50];non;non;z_SUV;;non;Private;Highly Urban/ Urban;3;avril;dev_express;< 300
376;M;[45-55];[25-50];oui;non;z_SUV;6;non;Private;Highly Urban/ Urban;3;mai;dev_express;< 300
377;F;[65-75];[25-50];oui;non;z_SUV;11;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[450-600]
378;M;[15-25];[50-75];oui;non;Minivan;21;non;Private;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
379;M;[65-75];[25-50];oui;oui;Minivan;8;oui;Private;Highly Urban/ Urban;1;janvier;dev_integral;[300-450]
380;F;[55-65];[75-100];non;non;Minivan;;non;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
381;M;< 15;> 150;oui;non;Minivan;18;non;Private;Highly Urban/ Urban;1;janvier;dev_express;< 300
382;M;> 75;[50-75];non;non;Van;7;oui;Commercial;Highly Urban/ Urban;2;janvier;dev_express;< 300
383;M;[65-75];[125-150];non;non;Van;16;non;Commercial;Highly Urban/ Urban;3;mars;dev_integral;[300-450]
384;M;> 75;[125-150];non;non;Sports Car;14;non;Private;Highly Urban/ Urban;0;janvier;dev_premium;[450-600]
385;M;< 15;[75-100];oui;non;z_SUV;11;non;Commercial;Highly Urban/ Urban;0;mai;dev_integral;< 300
386;F;[65-75];[25-50];oui;non;z_SUV;4;non;Commercial;Highly Urban/ Urban;3;avril;dev_express;< 300
387;M;< 15;[125-150];non;non;Minivan;19;non;Private;Highly Urban/ Urban;4;février;dev_express;< 300
388;F;> 75;< 25;non;non;Pickup;14;non;Private;Highly Urban/ Urban;0;mars;dev_integral;< 300
389;M;[35-45];[25-50];non;non;z_SUV;5;non;Private;z_Highly Rural/ Rural;0;janvier;dev_express;< 300
390;M;[65-75];[100-125];oui;non;Minivan;16;oui;Private;Highly Urban/ Urban;0;février;dev_express;< 300
391;F;[35-45];[100-125];oui;oui;z_SUV;12;non;Private;Highly Urban/ Urban;0;avril;dev_integral;< 300
392;F;[35-45];< 25;non;non;Sports Car;15;non;Private;Highly Urban/ Urban;1;mars;dev_integral;[300-450]
393;F;[35-45];< 25;non;non;Minivan;11;non;Commercial;Highly Urban/ Urban;2;mai;dev_express;< 300
394;M;[45-55];[100-125];non;non;Panel Truck;7;oui;Commercial;Highly Urban/ Urban;1;janvier;dev_express;< 300
395;F;[65-75];[100-125];non;non;Van;3;oui;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
396;M;> 75;[25-50];non;non;Pickup;8;oui;Commercial;Highly Urban/ Urban;3;janvier;dev_express;< 300
397;F;[35-45];[50-75];oui;oui;Pickup;8;non;Commercial;Highly Urban/ Urban;1;février;dev_premium;[300-450]
398;M;> 75;< 25;non;non;z_SUV;16;non;Private;z_Highly Rural/ Rural;0;avril;dev_premium;[300-450]
399;M;> 75;< 25;non;non;z_SUV;10;non;Private;Highly Urban/ Urban;2;février;dev_express;< 300
400;M;[65-75];[75-100];oui;oui;Minivan;9;non;Commercial;z_Highly Rural/ Rural;0;avril;dev_integral;< 300
401;F;[15-25];< 25;non;non;Sports Car;1;non;Commercial;Highly Urban/ Urban;7;février;dev_integral;[300-450]
402;M;< 15;[125-150];non;non;Panel Truck;5;non;Commercial;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
403;M;> 75;< 25;oui;non;z_SUV;5;non;Private;Highly Urban/ Urban;8;janvier;dev_express;< 300
404;M;[65-75];> 150;non;non;Panel Truck;16;non;Commercial;Highly Urban/ Urban;0;janvier;dev_express;< 300
405;M;[55-65];> 150;non;non;Panel Truck;19;oui;Commercial;Highly Urban/ Urban;5;janvier;dev_express;< 300
406;F;< 15;[50-75];oui;non;Minivan;7;non;Private;Highly Urban/ Urban;0;avril;dev_integral;< 300
407;F;[15-25];[75-100];oui;non;z_SUV;8;non;Commercial;Highly Urban/ Urban;0;février;dev_integral;< 300
408;M;< 15;[75-100];oui;non;Minivan;9;non;Private;Highly Urban/ Urban;2;avril;dev_premium;[300-450]
409;M;[35-45];< 25;non;non;Van;14;oui;Commercial;Highly Urban/ Urban;1;mars;dev_premium;[300-450]
410;F;[55-65];< 25;non;non;z_SUV;1;non;Private;Highly Urban/ Urban;0;février;dev_premium;[300-450]
411;M;[65-75];[25-50];oui;non;Van;1;oui;Commercial;Highly Urban/ Urban;2;mars;dev_integral;[300-450]
412;M;[45-55];[100-125];non;non;Sports Car;14;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
413;F;> 75;[75-100];non;non;Pickup;;non;Private;Highly Urban/ Urban;0;avril;dev_premium;[300-450]
414;F;< 15;< 25;non;non;z_SUV;16;non;Private;z_Highly Rural/ Rural;2;janvier;dev_premium;[450-600]
415;M;> 75;[75-100];non;non;Pickup;16;non;Commercial;Highly Urban/ Urban;0;février;dev_integral;< 300
416;F;[55-65];[25-50];non;non;Pickup;;non;Private;Highly Urban/ Urban;0;mars;dev_express;< 300
417;M;[45-55];< 25;non;non;Pickup;1;non;Private;Highly Urban/ Urban;1;mai;dev_integral;[300-450]
418;F;[35-45];< 25;oui;non;z_SUV;1;non;Private;Highly Urban/ Urban;7;mars;dev_integral;[300-450]
419;M;[65-75];< 25;non;non;Pickup;1;non;Private;Highly Urban/ Urban;6;mars;dev_express;< 300
420;F;[35-45];< 25;oui;non;Panel Truck;1;oui;Commercial;Highly Urban/ Urban;0;janvier;dev_integral;[300-450]
421;M;[65-75];[25-50];oui;oui;Pickup;1;oui;Commercial;Highly Urban/ Urban;5;mai;dev_integral;[300-450]
422;M;[15-25];[75-100];non;non;Van;16;non;Private;Highly Urban/ Urban;11;avril;dev_integral;[300-450]
423;M;[65-75];< 25;non;non;Minivan;1;non;Private;z_Highly Rural/ Rural;2;avril;dev_integral;[300-450]
424;M;> 75;[75-100];non;non;Minivan;7;oui;Commercial;Highly Urban/ Urban;6;mars;dev_integral;[300-450]
425;F;> 75;[75-100];non;non;Sports Car;12;non;Private;Highly Urban/ Urban;0;avril;dev_express;< 300
426;M;[45-55];[75-100];non;non;z_SUV;7;non;Commercial;z_Highly Rural/ Rural;1;avril;dev_premium;[450-600]
427;M;[35-45];< 25;oui;oui;Minivan;5;non;Commercial;Highly Urban/ Urban;0;mars;dev_premium;[450-600]
428;F;[55-65];[50-75];non;non;Minivan;1;non;Private;Highly Urban/ Urban;2;avril;dev_integral;[300-450]
429;F;[55-65];[100-125];non;non;Panel Truck;18;non;Commercial;Highly Urban/ Urban;6;mai;dev_express;< 300
430;F;[65-75];[25-50];oui;oui;z_SUV;11;non;Private;z_Highly Rural/ Rural;4;avril;dev_integral;[300-450]
431;F;[45-55];[25-50];non;non;z_SUV;1;non;Commercial;Highly Urban/ Urban;3;janvier;dev_express;< 300
432;M;[15-25];[50-75];non;non;Panel Truck;4;oui;Commercial;z_Highly Rural/ Rural;1;mai;dev_vip;> 600
433;F;> 75;< 25;non;non;Pickup;17;oui;Commercial;Highly Urban/ Urban;0;janvier;dev_integral;< 300
434;F;< 15;[25-50];non;non;Minivan;15;non;Private;Highly Urban/ Urban;0;avril;dev_express;< 300
435;F;[65-75];[50-75];non;non;Panel Truck;;oui;Commercial;Highly Urban/ Urban;5;février;dev_integral;[300-450]
436;F;[55-65];< 25;non;non;Pickup;1;oui;Commercial;Highly Urban/ Urban;0;avril;dev_express;< 300
437;F;> 75;[75-100];non;non;Pickup;13;non;Commercial;Highly Urban/ Urban;3;février;dev_express;< 300
438;F;[55-65];[25-50];oui;non;Van;12;oui;Private;Highly Urban/ Urban;0;avril;dev_integral;[300-450]
439;M;> 75;< 25;oui;non;z_SUV;6;non;Commercial;Highly Urban/ Urban;2;février;dev_premium;[300-450]
440;F;[55-65];< 25;oui;non;Sports Car;9;non;Private;Highly Urban/ Urban;0;janvier;dev_integral;< 300
441;F;[25-35];< 25;non;non;Pickup;1;oui;Commercial;Highly Urban/ Urban;0;mars;dev_premium;[300-450]
442;F;[65-75];< 25;non;non;Pickup;;non;Private;Highly Urban/ Urban;0;mars;dev_integral;[300-450]
443;F;[45-55];[25-50];non;non;Pickup;19;oui;Commercial;Highly Urban/ Urban;0;mai;dev_integral;[300-450]
444;F;> 75;[50-75];oui;non;z_SUV;7;non;Commercial;Highly Urban/ Urban;0;mars;dev_express;< 300
445;M;[65-75];< 25;non;non;z_SUV;15;non;Private;Highly Urban/ Urban;2;avril;dev_express;< 300
446;F;> 75;[100-125];non;non;Pickup;1;oui;Commercial;Highly Urban/ Urban;3;avril;dev_integral;[300-450]
447;M;[45-55];[75-100];oui;non;z_SUV;9;non;Private;Highly Urban/ Urban;4;mai;dev_integral;< 300
448;M;[65-75];< 25;oui;non;z_SUV;6;non;Private;Highly Urban/ Urban;1;mars;dev_integral;< 300
449;F;[65-75];< 25;oui;oui;z_SUV;1;non;Private;Highly Urban/ Urban;2;mars;dev_express;< 300
450;F;> 75;[50-75];oui;non;Sports Car;12;non;Private;Highly Urban/ Urban;0;janvier;dev_express;< 300
451;M;[25-35];< 25;non;non;Pickup;4;oui;Commercial;Highly Urban/ Urban;7;janvier;dev_express;< 300
452;F;> 75;< 25;oui;non;z_SUV;8;non;Private;Highly Urban/ Urban;1;mars;dev_integral;[300-450]
453;F;[45-55];[125-150];non;non;z_SUV;20;non;Private;Highly Urban/ Urban;0;février;dev_premium;[450-600]
454;M;[35-45];[50-75];non;non;Van;4;non;Commercial;Highly Urban/ Urban;0;mars;dev_express;< 300
455;F;[25-35];[25-50];oui;non;Minivan;10;non;Commercial;Highly Urban/ Urban;0;mai;dev_express;< 300
456;F;[35-45];[75-100];non;non;Pickup;;non;Commercial;Highly Urban/ Urban;0;mars;dev_integral;< 300
457;F;[45-55];[75-100];non;non;Van;1;oui;Commercial;Highly Urban/ Urban;5;février;dev_integral;[300-450]
458;F;[35-45];< 25;oui;non;Sports Car;8;non;Private;Highly Urban/ Urban;2;avril;dev_premium;[450-600]
459;M;[25-35];> 150;non;non;Pickup;1;oui;Private;Highly Urban/ Urban;0;mars;dev_integral;< 300
460;M;[35-45];[75-100];oui;oui;Minivan;1;oui;Private;Highly Urban/ Urban;1;janvier;dev_integral;< 300
461;M;[55-65];< 25;non;non;z_SUV;9;non;Private;z_Highly Rural/ Rural;0;mars;dev_premium;[300-450]
462;M;[45-55];[75-100];non;non;Sports Car;5;non;Private;Highly Urban/ Urban;1;avril;dev_express;< 300
463;M;[25-35];[75-100];non;non;Panel Truck;12;non;Commercial;Highly Urban/ Urban;0;février;dev_express;< 300
464;F;[55-65];[50-75];non;non;Minivan;11;non;Private;Highly Urban/ Urban;2;avril;dev_integral;< 300
465;M;> 75;< 25;oui;oui;Pickup;5;non;Commercial;z_Highly Rural/ Rural;0;mai;dev_integral;< 300
466;M;> 75;[50-75];non;non;Pickup;12;oui;Commercial;z_Highly Rural/ Rural;1;mars;dev_express;< 300
467;F;< 15;> 150;oui;oui;Van;;oui;Commercial;Highly Urban/ Urban;0;mai;dev_express;< 300
